epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,141.028,0.46882,0.35581,0.90015,0.83926,0.97009,0.94045,0.82838,0.55776,0.50276,0.86148,0.000294061,0.000294061,0.000294061
43,143.854,0.47807,0.34566,0.92,0.84491,0.97278,0.92381,0.81391,0.54787,0.49734,0.8463,0.000279063,0.000279063,0.000279063
44,147.046,0.44321,0.34295,0.90484,0.85235,0.98006,0.92136,0.82793,0.54358,0.46348,0.84379,0.000264064,0.000264064,0.000264064
45,149.741,0.46414,0.3289,0.89279,0.85362,0.98683,0.953,0.84844,0.52798,0.44946,0.84376,0.000249066,0.000249066,0.000249066
46,152.429,0.47007,0.3453,0.91569,0.86554,0.98559,0.97157,0.85639,0.5499,0.45972,0.85599,0.000234068,0.000234068,0.000234068
47,155.096,0.45931,0.3411,0.90974,0.85984,0.98772,0.96561,0.85317,0.55201,0.46455,0.85421,0.000219069,0.000219069,0.000219069
48,158.308,0.46581,0.33543,0.92324,0.85467,0.98195,0.96243,0.86458,0.54889,0.47141,0.85187,0.00020407,0.00020407,0.00020407
49,161.265,0.44354,0.33289,0.89772,0.84624,0.9773,0.93741,0.84602,0.53281,0.48124,0.8465,0.000189072,0.000189072,0.000189072
50,163.907,0.44181,0.32632,0.89563,0.84787,0.97814,0.92329,0.83584,0.52888,0.48438,0.84056,0.000174074,0.000174074,0.000174074
51,168.383,0.39633,0.31627,0.8672,0.85483,0.98264,0.93082,0.83505,0.54907,0.48433,0.84942,0.000159075,0.000159075,0.000159075
52,171.936,0.37117,0.26782,0.84068,0.85182,0.97462,0.95045,0.84983,0.57648,0.50436,0.86904,0.000144077,0.000144077,0.000144077
53,174.623,0.36496,0.26619,0.82322,0.84997,0.95024,0.92382,0.8252,0.5519,0.5678,0.85365,0.000129078,0.000129078,0.000129078
54,177.276,0.35618,0.27149,0.8295,0.84996,0.95252,0.91717,0.81566,0.56279,0.58222,0.86733,0.00011408,0.00011408,0.00011408
55,179.922,0.3591,0.26015,0.83343,0.84337,0.95527,0.92095,0.81658,0.56257,0.57782,0.87386,9.9081e-05,9.9081e-05,9.9081e-05
56,182.761,0.33749,0.2418,0.82406,0.84501,0.95423,0.9469,0.84028,0.57879,0.52339,0.8831,8.40825e-05,8.40825e-05,8.40825e-05
57,185.839,0.35404,0.2463,0.84082,0.85356,0.95308,0.95697,0.85286,0.58021,0.51353,0.87803,6.9084e-05,6.9084e-05,6.9084e-05
58,188.552,0.34304,0.24248,0.84231,0.85199,0.95957,0.95897,0.8484,0.56364,0.51083,0.8666,5.40855e-05,5.40855e-05,5.40855e-05
59,191.137,0.34378,0.25461,0.84762,0.85549,0.96135,0.96248,0.85269,0.56613,0.49547,0.86774,3.9087e-05,3.9087e-05,3.9087e-05
60,193.751,0.33423,0.23798,0.83105,0.85814,0.96219,0.96979,0.86109,0.55129,0.49425,0.85263,2.40885e-05,2.40885e-05,2.40885e-05
